title,genre,rating,summary
The Broken Shore,crime,4," The novel's central character is Joe Cashin, a Melbourne homicide detective. Following serious physical injuries he is posted to his hometown where he begins the process of rebuilding the old family mansion and his physical and mental strength. Against a background of family tragedy, politics, police corruption and racism, he investigates the death of a wealthy local man, Charles Burgoyne. His closest friend and police superior is Villani, who is the central character in Truth."
At Bertram's Hotel,crime,4," Jane Marple, the elderly amateur sleuth, takes a holiday at Bertram's hotel in London, to re-live her happy memories of staying there during her youth. The hotel is famous for fully preserving its Edwardian atmosphere even into the 1960s, from the proper staff to the elderly guests who frequent the tearoom. Miss Marple first sees Lady Selina Hazy, a childhood friend. Lady Hazy says she often thinks she recognizes people in the hotel but they turn out to be strangers. Miss Marple is intrigued by the other guests in the tearoom, especially a famous adventuress, Bess Sedgwick a young woman, Elvira Blake, and her guardian Colonel Luscombe and a forgetful clergyman, Canon Pennyfather. Elvira's late father left her a lot of money, but it's all held in trust until she, not yet 20, turns 21. Her mother, Bess Sedgwick, had abandoned her as a toddler to become a famous star and adventurer, and has not kept in touch. Elvira suddenly starts asking her guardians who would inherit her money if she dies, and hints that she may be planning marriage. She also says somebody had tried to poison her during her school days in Italy. She secretly flies to Ireland for 24 hours, telling her best friend only that she has to find out something that's of terrible importance. Canon Pennyfather is supposed to fly to Switzerland the same day, also for 24 hours, to attend a religious conference in Lucerne. But he's so forgetful he doesn't arrive at the airport until the following evening, by which time the conference is over. He returns to the hotel around midnight, and upon entering his room, sees something very surprising and is immediately knocked on the head. He wakes up four days later in a house several hours from London but near the location where the Irish Mail train was robbed three days earlier. A family had found him on the side of the road and taken him in. He remembers nothing since taking the taxi to the airport, yet some witnesses at the train robbery say they saw somebody who looked like him at the scene. Miss Marple also saw him leaving his hotel room at 3 am, three hours after he was knocked on the head, and a few hours before the robbery. It turns out that Lady Sedgwick had hidden herself from Elvira because she did not consider herself a suitable mother, given her lifestyle. Sedgwick and Elvira are lovers of the same man, the racing-car driver Ladislaus Malinowski. However, both women claim that Elvira doesn't know him. But Miss Marple knows that she does, because she has seen Elvira and Malinowski together at a restaurant. She thinks Malinowski is an unsuitable man for Elvira, and wishes she could save her from getting involved with him. Meanwhile, a car similar to Malinowski's has been seen at the train robbery and at several other train robberies it is similar but not identical the licence plates were off by one digit. Miss Marple overhears Bess Sedgwick talking with the hotel commissionaire, Micky Gorman. It turns out they had earlier been married in Ireland. At the time, Gorman had told her the wedding was just a game and not a legal marriage. But in fact it was a real marriage, and so her four subsequent marriages were unwittingly bigamous. Elvira also overhears this, and worries it might invalidate her inheritance because she is the daughter of one of Sedgwick's later husbands. She had travelled to Ireland to verify the marriage, but we don't know whether she flew back to England or took a train, perhaps the Irish Mail train, so she could have been a witness or perpetrator in the robbery. When Elvira comes to the hotel one foggy night, two shots are fired, and Elvira is found next to dead Commissionaire Gorman. Elvira claims he has been shot dead after he had run in front of her to shield her due to the first shot. The gun is Malinowski's. Police Chief Inspector Father Davy, along with Inspector Campbell, has been involved in the mystery since Pennyfather's disappearance. He interviews everybody in the hotel, and quickly realizes that Miss Marple notices things  things in human nature that provide important clues. After Pennyfather is found, the three of them try an experiment. Miss Marple and Pennyfather re-enact their actions from when she saw him in the hallway (although he doesn't remember it). She realizes it wasn't him she saw the walk was different. Pennyfather then remembers what surprised him when he entered his room he saw himself sitting on a chair, just before he was knocked on the head. His doppelgnger, with his confederates, left the hotel (when Miss Marple saw him), drove the unconscious Pennyfather to the mail train, made himself visible during the robbery so that people would mistake him for Pennyfather, and then left Pennyfather on the side of the road. Miss Marple tells Inspector Davy that she was disappointed to find out that much of the hotel's Edwardian atmosphere is false. Some of the guests are genuine, but others are actors pretending to be other people. So Lady Hazy wasn't wrong after all the people she mistakenly recognized were actors pretending to be people she knew. Why a hotel would have so many actors is baffling, until the sleuths realize that the hotel is the center of a criminal ring. The actors pose as other people during robberies in order to make it look like their namesakes were at places they weren't. Father Davy and Miss Marple confront Bess Sedgwick as the orchestrator of these robberies, along with the hotel's owners and staff. Sedgwick confesses, and also admits to killing Gorman. She then drives away recklessly and commits suicide, although her racing may let it look like an accident. However, Miss Marple has already concluded that Elvira herself shot Gorman, and that her mother falsely confessed to the shooting in order to save her daughter. Elvira had fallen madly in love with Ladislaus Malinowski and knew that he was primarily interested in her money, but was concerned that if Michael Gorman revealed his marriage to Bess Sedgwick it would endanger her father's legacy."
Leviathan,crime,4," The story is told by Peter Aaron about the victim, Benjamin Sachs, his best friend whom he first meets as a fellow writer in a Greenwich Village bar in 1975. Peter decides to try to piece together the story of Ben's other life after agents from the F.B.I. approach him in the course of their investigation. Of their friendship, Peter acknowledges Bens lost years of suffering and painful inner state, saying  In 15 years, Sachs travelled from one end of himself to the other, and by the time he came to that last place, I doubt he even knew who he was anymore. So much distance had been covered by then, it wouldn't have been possible for him to remember where he had begun. The two first meet as struggling novelists, Peter with the wheeling mind and the provocative Ben with his perfect marriage to the beautiful Fanny. Both have a wish to say something, to make a difference in the real world. Privately, Ben himself is full of doubts and his marriage is showing cracks, when one night at a drunken party by freakish chance, he tumbles from a fourth-floor fire escape, nearly losing his life. The fall is both actual and metaphorical. For days afterward he refuses to speak and on recovery he is strangely remote. Within a week of turning 41, Ben expresses a desire to end the life he has lived until then. Feeling that his life has been a waste, he declares he wants everything to change, and serving himself with an all-or-nothing ultimatum, decides he must take control or fail. In evincing this change, he leaves Fanny, moves to a cabin in Vermont where he begins to work on a book  then vanishes. There is no further contact with Fanny and one final meeting with Peter where he confesses all. His cabin and its contents is deserted, his manuscript, titled Leviathan, lies abandoned. Peter pieces together Bens life after disappearing which involves the photographic artist Maria and her closest friend Lillian. Lillian#39s husband and Vietnam War veteran is Reed who becomes Bens alter ego after a violent random encounter that sends Ben in a radically new direction."
Unnatural Causes,crime,2," While staying with his Aunt Jane in Suffolk, Adam Dalgliesh stumbles across a most bizarre and frightening murder. A local detective novelist, Maurice Seton, becomes himself the subject of investigation when his boat washes ashore with his body inside, with both his hands cut off, seemingly with a meat cleaver. Strangely, the scene of his death is mirrored in a manuscript for the new thriller he was writing..."
Hammerhead Ranch Motel,crime,5," Serge follows the suitcase containing five million up the coast of Florida to Tampa where he proceeds to meet Lenny Lipowicz, a part time Don Johnson impersonator who owns a real moon rock from a 1970s space mission. Along for the ride are City and Country, two girls from Alabama who are on the run after an incident in a bar bathroom where a girl accidentally stabbed herself with a steak knife she was using to snort cocaine from. One of the girls pulled the blade out trying to help, but it cut an artery. With their fingerprints all over, they decided to run for it. There is also a gangster named Fiddlebottom who changed his name to the more menacing Zargoza, and a Hemingway impersonator named Jethro, and so on. All these characters meet up by the end at the Hammerhead Ranch Motel as hurricane Rolando-berto comes ashore."
The Dead of Jericho,crime,1," Detective Chief Inspector E. Morse of the Thames Valley Police meets Anne Scott at a party hosted by Mrs Murdoch in North Oxford. Six months later Anne Scott is found hanging in her kitchen at 9 Canal Reach, Jericho, Oxford. Initially Chief Inspector Bell, from the closer Oxford Central station on St. Aldate's Street, is assigned to the case but a fortnight later Morse takes over the investigation and subsequently both of Mrs Murdoch's sons, Edward Ted Murdoch and Michael Murdoch, as well as Anne Scott's former employers, brothers Charles Richards and Conrad Richards, and Charles's wife, Celia, come to the attention of Morse. As do Ms Scott's neighbours, including the nosy handyman George Jackson, and Sophocles's Oedipus Rex (the latter also figures in episode 3.1 of the spin-off TV series Lewis)."
The 9th Judgment,crime,5," SFPD sergeant Lindsay Boxer and her squad are tracking down a man who approaches young mothers in shopping center parking garages and kills them and their infant children. This happens several times and causes widespread panic. The man then makes contact and demands a 2 million ransom in exchange for stopping the killing. He strikes at such random places and times that, despite Boxer's protests, the police decide to pay the ransom. Boxer is selected to deliver the ransom and has the man guide her via cellphone. After forcing Boxer to strip to her panties to prove she is not wearing a wire, the man has her drive throughout San Francisco. The trek culminates on the Golden Gate Bridge where Boxer drops the suitcase with the ransom in it to a boat waiting below. The Coast Guard is able to apprehend the man in the boat, who turns out to be uninvolved in the killingshe had been told his picking up the suitcase was for a movie. Upset at having not gotten his ransom, the man kills another mother and child. While at that crime scene, however, he was noticed by the owner of a store on Fisherman's Wharf. The owner recognized him as having bought a prepaid cellphone from his store earlier and gives Boxer and her team the surveillance tape from his store. From the tape, Boxer and her team identify the man and begin tracking him down. Before they can find him, however, the man strikes again. However, the woman he chose was armed with a 22 caliber pistolcarried in response to the general panic caused by the shootings. She shoots the man and he dies just as Boxer and her team arrive. In the plot's secondary case, a notorious female cat burglar dubbed 'Hello Kitty' breaks into the home of an aging movie star and his wife whilst they are eating dinner, the latter of whom happened to be law school classmates with Boxer's friend Yuki Castellano. The star and his wife come upstairs unexpectedly and the burglar is forced to wait in the closet until they fall asleep before she can escape. She waits, but in the process of escaping, knocks over a table. The movie star pulls out a gun and searches for the intruder before coming up with the idea of shooting and killing his wife in the hope that he can blame it on the burglar, who escapes unnoticed before the killing occurs. Through their investigation, Boxer and her team discover that the star had a girlfriend and wanted out of his marriage and that murder was cheaper than divorce. When confronted with the evidence, the star falsely claims that he shot his wife in self defense after she attempted to shoot him. It is also revealed that the cat burglar is actually a school teacher in an unhappy marriage. She is also in love with a female colleague and is only burglarizing in order to get enough money so that she and the colleague can escape to another country and start a new life together. At the end, it is revealed that the female colleague the burglar has fallen in love with is also unhappily marriedto the man who was killing mothers and children whom Boxer was tracking."
The Real Cool Killers,crime,4," The book's plot concerns the murder of Ulysses Galen, who was found dead in one of the streets of Harlem. Detectives Grave Digger Jones and Coffin Ed Johnson must investigate the murder and follow up various leads as to who might have had a reason to kill Galen."
The Private Patient,crime,1," In deepest Dorset, the once magnificent Cheverell Manor has been renovated and transformed into a plastic surgery clinic, run by the famous cosmetic practitioner George Chandler-Powell. Two days after Rhoda Gradwyn, an investigative journalist, arrives in the hope of having her lifelong facial scar removed, she's savagely murdered and Powell finds his surgery under scrutiny from Dalgliesh and his team, who are soon caught in a race against time when another body shows up..."
Yōgisha X no Kenshin,crime,3, The story begins with Tetsuya Ishigami and Yasuko Hanaoka doing their daily routine.
The Dame's the Game,crime,3," Shelly Tanner's husband Joe is a wealthy industrialist conducting military-sponsored research on Cold War armaments and intelligence gear. To relax, Joe has taken to shooting craps in a high-stakes floating game situated in various Los Angeles locations. He consistently loses serious sums of money, but out of obsession with the idea that his luck has to change, he returns to the game night after night. His beautiful, sexually frustrated wife, Shelly sees through the crooked game, but can't convince Joe to stop throwing his money away. In desperation she drives to Las Vegas to enlist the aid of casino detective Barney Conroy. At first, Barney wants nothing to do with free-lance work. He prefers the predictable security of his casino job. But when he is roughed up in the casino parking lot by thugs obviously tied to the Tanner affair, his injured pride compels him to find Shelly and promise his assistance. Shelly brings Barney and Joe together in Los Angeles and they all visit the craps game. Barney quietly confirms that the game is rigged. He thinks he recognizes the stickman as a dishonest but cowardly neighbor from his boyhood home in Kansas City, but doesn't know if he himself has been recognized. After discussing the crooked nature of the game with a still-unreceptive Joe, Barney and Shelly form an amorous association. Shelly decides to leave Joe. As she and Barney spend a blissful first night together in a nearby motel, Joe returns to the craps game and uses the information Barney uncovered to confront the gang running it. Their response is to overpower him, take him to his own home and kill him using Shelly's gun. The gang's operatives have followed Barney and Shelly to the motel, know what they're up to, and anonymously tip the police that the pair are Joe's murderers. Barney and Shelly are arrested and both spend some time in jail, but because no evidence directly implicates him, Barney is released. He uses his freedom to discover the real motives and the subrosa political affiliations of the gang members and, with the help of Shelly's high-priced Hollywood lawyer, successfully leads the FBI into a night-time, seaside gun battle where the gang is defeated."
Poseidon's Gold,crime,4," In Poseidon's Gold, Falco returns from a six month mission to Germania Liberia, only to become embroiled in the after-effects of a scam by his, now deceased, older brother, Festus. The story recounts shipping scams, crooked antiques auctions and hired thugs, all while Falco is trying to clear his family's name and sort out his deceased brother Festus' business dealings."
The Best Man to Die,crime,4, The fatal car accident involving the stockbroker Fanshawe couldn't possibly be connected with the murder of a cocky little lorry driver. But was it a coincidence that the latter died the day after Mrs Fanshawe regained consciousness
Put on By Cunning,crime,1," When the esteemed flautist Sir Manuel Camargue slips on a snowy path one dark night and falls into an icy river, his death seems like an open and shut case. However, when Wexford discovers that the old man's long lost daughter has just arrived in anticipation of the reading of his will, suspicions of foul play arise..."
Monday Mourning,crime,4," The plot of the story revolves around Temperance trying to decipher the clues left behind by the skeletons of three girls found in a pizza parlor basement, which has a colourful history. Temperance's forensic expertise tells her that the people were buried after 1955, but homicide detective Luc Claudel is convinced the bones are pre-1955, and dismisses the case. Temperance's frustration at Claudel for not investigating the case grows and she decides to take it on herself. From simply the remains of the three girls, she follows the clues which include a frightened old lady, a crazed man with a SM fetish, and finally a girl who has been subjected to so much sexual torture, she develops a taste for it herself."
Blow Fly,crime,5," After her resignation as Virginia's Chief Medical Examiner and the horrifying events which threatened her life in The Last Precinct, Kay Scarpetta has abandoned her elegant home in Richmond, Virginia, and is quietly living in Florida, beginning to get some balance back in her life and slowly establishing herself as a private forensic consultant. (Her first class involves the blow fly, which sometimes lays eggs on corpses.) But her past will not let her rest, and her grief for Benton Wesley continues to grow, not diminish, as does the rage within Lucy, her niece. Then the architect of her changed fortunes contacts her from his cell on death row deformed, blinded by Scarpetta's own actions, incarcerated in Texas' strongest prison, Jean-Baptiste Chandonne still has the ability to terrify. But, unknown to Scarpetta, there are other forces behind the wolfman's apparent actions, invisibly shepherding her and those closest to her towards eliminating those who threaten them all. And it is all orchestrated by the one man in her life who knows every nuance of her soul. Bizarre incidents in Szczecin, Poland, Lucy and a colleague apparently commit a premeditated murder, using blow-fly larvae to dispose of the evidence. The novel then ends with the killing of four further people by Scarpetta's associates."
King Solomon's Carpet,crime,1," Jarvis Stringer is a student of the London Tube and its history and of underground trains worldwide. In order to finance his hobby and be able to travel to distant lands to inspect the underground systems in other parts of the world, he lets rooms in an old disused school building he has inherited which is close to the tube tracks in West Hampstead (see Jubilee Line). There, a group of misfits and weirdos, including a squatter, gather whose dreams of the good life have time and again been shattered as they are constantly victimized by society. There is 24 year-old Alice, an aspiring musician who leaves her husband and new-born baby only to end up busking in various stations in central London. There is Tom, who, after an accident, drops out of music school and is reduced to busking as well but who dreams of one day starting his own business. There is unemployed Tina, whose promiscuity landed her with two children whom she does not take care of in the way her mother thinks she ought to. There is Jed, who volunteers as a vigilante and who, disappointed by humans, lavishes all his love on the hawk he has acquired and which he keeps in the house. And there is Axel, an enigmatic man who regularly travels on the tube in the company of a man disguised as a bear and who is planning something illegal. Cecilia and Daphne, two old ladies living in the neighbourhood, serve as a foil to this ill-assorted group. It is Cecilia in particular who does not understand how young people such as her daughter Tina can be utterly devoid of morals. She is shocked to learn that her 10 year-old grandson enjoys riding on the roof of cars as they go through deep-level tunnels. While travelling on the tube herself, her handbag containing her credit cards is stolen, and she suffers a stroke in one of the packed cars. The novel is interspersed with extracts from Jarvis Stringer's (fictional) book on the London Underground."
Hell to Pay,crime,3," The novels central plotline concerns the murder by drug dealers of a no-account deadbeat over an unpaid debt and the incidental killing of the intended victims nephew, starting with the killers efforts to locate the victim and continuing through Stranges investigation of the murders and the killings repercussions in the world of the DC drug trade. Secondary plotlines involve efforts by Stranges white associate, Terry Quinn, to locate a young girl who has disappeared into prostitution, as well as Stranges background investigation of a potentially shady young man who is engaged to marry the beautiful daughter of Stranges wealthy friend. Explanation of the novel's title"
The Whaleboat House,crime,5," Little has changed in Amagansett since the first settlers arrived there some 300 years earlier, but the discovery of the body of Lillian Wallace, a New York socialite, by a local fisherman named Conrad Labarde, shatters the apparent stability and threatens to tear the close-knit community apart. Labarde (a second generation French Basque recently returned from the war in Europe), and Tom Hollis (a recently divorced former New York police detective posted to the area after his attempt to expose corruption resulted in the death of a colleague), are drawn to investigate Lillian's death, even though it appears to have been a tragic accident. They both have their own separate reasons to suspect that there is more to the death than meets the eye, and that it may have been the result of foul play."
Plain Truth,crime,5," The book tells the story of how a dead infant found on an Amish farm shakes the entire community. As the police investigate the death, they discover that the baby was not stillborn, but died shortly after birth. Police find cloth fibers in the infant's mouth and throat, including bruises on the mouth, which leads them to conclude that he was suffocated. An eighteen-year-old, unmarried Amish girl, Katie Fisher, is charged with murder of her new-born son. Ellie Hathaway, a top defense lawyer and a distant relative of Katie, reluctantly accepts the case after a confrontation with her aunt (the relative who connects her with Katie by marriage). As part of the bail conditions of the pre-trial hearing, Ellie has to remain on the farm with Katie prior to the trial--a period that lasts several months. A doctor determines that the infant was born prematurely and could have died from natural causes due to listeriosis, a bacterial infection which Katie contracted from drinking unpasteurized milk. During that time, Ellie begins a relationship with her former lover Coop (a legal psychologist whom she trusts with Katie's interviews), whom she had previously left years before. On the first day of Katie's trial, Ellie finds out she is pregnant with Coop's baby. Coop asks Ellie to marry him immediately, but she defers. After the jury deliberates for several days, Katie cops a plea and is sentenced to one year of electronic monitoring, allowing her to stay at the farm while wearing an electronic bracelet. Katie's mother, Sarah Fisher, gives Ellie the scissors which have been used to cut the umbilical cord, revealing that she knew Katie was pregnant and had gone to her the night she gave birth, though Katie didn't know it. Ellie has an ethical obligation as an attorney to provide this evidence to the police, but opts not to, based on Sarah's plea to her--mother to mother. The novel ends with Coop picking up Ellie at the farm to begin their life together."
