title,genre,rating,summary
"Thinking, Fast and Slow",psychology,1,"In the highly anticipated Thinking, Fast and Slow, Kahneman takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional System 2 is slower, more deliberative, and more logical. Kahneman exposes the extraordinary capabilitiesand also the faults and biasesof fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. The impact of loss aversion and overconfidence on corporate strategies, the difficulties of predicting what will make us happy in the future, the challenges of properly framing risks at work and at home, the profound effect of cognitive biases on everything from playing the stock market to planning the next vacationeach of these can be understood only by knowing how the two systems work together to shape our judgments and decisions.Engaging the reader in a lively conversation about how we think, Kahneman reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our business and our personal livesand how we can use different techniques to guard against the mental glitches that often get us into trouble. Thinking, Fast and Slow will transform the way you think about thinking."
Man's Search for Meaning,psychology,1,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. Man's Search for Meaning has become one of the most influential books in America it continues to inspire us all to find significance in the very act of living.More book description"
Quiet: The Power of Introverts in a World That Can't Stop Talking,psychology,2,"The book that started the Quiet RevolutionAt least one-third of the people we know are introverts. They are the ones who prefer listening to speaking who innovate and create but dislike self-promotion who favor working on their own over working in teams. It is to introvertsRosa Parks, Chopin, Dr. Seuss, Steve Wozniakthat we owe many of the great contributions to society. In Quiet, Susan Cain argues that we dramatically undervalue introverts and shows how much we lose in doing so. She charts the rise of the Extrovert Ideal throughout the twentieth century and explores how deeply it has come to permeate our culture. She also introduces us to successful introvertsfrom a witty, high-octane public speaker who recharges in solitude after his talks, to a record-breaking salesman who quietly taps into the power of questions. Passionately argued, superbly researched, and filled with indelible stories of real people, Quiet has the power to permanently change how we see introverts and, equally important, how they see themselves.Now with Extra Libris material, including a readers guide and bonus content."
Blink: The Power of Thinking Without Thinking,psychology,4,"Drawing on cutting-edge neuroscience and psychology and displaying all of the brilliance that made The Tipping Point a classic, Blink changes the way you'll understand every decision you make. Never again will you think about thinking the same way.Malcolm Gladwell redefined how we understand the world around us. Now, in Blink, he revolutionizes the way we understand the world within. Blink is a book about how we think without thinking, about choices that seem to be made in an instant - in the blink of an eye - that actually aren't as simple as they seem. Why are some people brilliant decision makers, while others are consistently inept Why do some people follow their instincts and win, while others end up stumbling into error How do our brains really work - in the office, in the classroom, in the kitchen, and in the bedroom And why are the best decisions often those that are impossible to explain to othersIn Blink we meet the psychologist who has learned to predict whether a marriage will last, based on a few minutes of observing a couple the tennis coach who knows when a player will double-fault before the racket even makes contact with the ball the antiquities experts who recognize a fake at a glance. Here, too, are great failures of blink the election of Warren Harding New Coke and the shooting of Amadou Diallo by police. Blink reveals that great decision makers aren't those who process the most information or spend the most time deliberating, but those who have perfected the art of thin-slicing - filtering the very few factors that matter from an overwhelming number of variables."
Influence: The Psychology of Persuasion,psychology,2,"Influence, the classic book on persuasion, explains the psychology of why people say yesand how to apply these understandings. Dr. Robert Cialdini is the seminal expert in the rapidly expanding field of influence and persuasion. His thirty-five years of rigorous, evidence-based research along with a three-year program of study on what moves people to change behavior has resulted in this highly acclaimed book.You'll learn the six universal principles, how to use them to become a skilled persuaderand how to defend yourself against them. Perfect for people in all walks of life, the principles of Influence will move you toward profound personal change and act as a driving force for your success."
The Power of Habit: Why We Do What We Do in Life and Business,psychology,2,"A young woman walks into a laboratory. Over the past two years, she has transformed almost every aspect of her life. She has quit smoking, run a marathon, and been promoted at work. The patterns inside her brain, neurologists discover, have fundamentally changed.Marketers at Procter  Gamble study videos of people making their beds. They are desperately trying to figure out how to sell a new product called Febreze, on track to be one of the biggest flops in company history. Suddenly, one of them detects a nearly imperceptible patternand with a slight shift in advertising, Febreze goes on to earn a billion dollars a year.An untested CEO takes over one of the largest companies in America. His first order of business is attacking a single pattern among his employeeshow they approach worker safetyand soon the firm, Alcoa, becomes the top performer in the Dow Jones.What do all these people have in common They achieved success by focusing on the patterns that shape every aspect of our lives.They succeeded by transforming habits.In The Power of Habit, award-winning New York Times business reporter Charles Duhigg takes us to the thrilling edge of scientific discoveries that explain why habits exist and how they can be changed. With penetrating intelligence and an ability to distill vast amounts of information into engrossing narratives, Duhigg brings to life a whole new understanding of human nature and its potential for transformation.Along the way we learn why some people and companies struggle to change, despite years of trying, while others seem to remake themselves overnight. We visit laboratories where neuroscientists explore how habits work and where, exactly, they reside in our brains. We discover how the right habits were crucial to the success of Olympic swimmer Michael Phelps, Starbucks CEO Howard Schultz, and civil-rights hero Martin Luther King, Jr. We go inside Procter  Gamble, Target superstores, Rick Warrens Saddleback Church, NFL locker rooms, and the nations largest hospitals and see how implementing so-called keystone habits can earn billions and mean the difference between failure and success, life and death.At its core, The Power of Habit contains an exhilarating argument The key to exercising regularly, losing weight, raising exceptional children, becoming more productive, building revolutionary companies and social movements, and achieving success is understanding how habits work.Habits arent destiny. As Charles Duhigg shows, by harnessing this new science, we can transform our businesses, our communities, and our lives."
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,psychology,4,"If a man has lost a leg or an eye, he knows he has lost a leg or an eye but if he has lost a selfhimselfhe cannot know it, because he is no longer there to know it. Dr. Oliver Sacks recounts the stories of patients struggling to adapt to often bizarre worlds of neurological disorder. Here are people who can no longer recognize everyday objects or those they love who are stricken with violent tics or shout involuntary obscenities who have been dismissed as autistic or retarded, yet are gifted with uncanny artistic or mathematical talents. If inconceivably strange, these brilliant tales illuminate what it means to be human."
Flow: The Psychology of Optimal Experience,psychology,4,"Psychologist Mihaly Csikszentmihalyi's investigations of optimal experience have revealed that what makes an experience genuinely satisfying is a state of consciousness called flow. During flow, people typically experience deep enjoyment, creativity, and a total involvement with life. Csikszentmihalyi demonstrates the ways this positive state can be controlled, not just left to chance. Flow The Psychology of Optimal Experience teaches how, by ordering the information that enters our consciousness, we can discover true happiness, unlock our potential, and greatly improve the quality of our lives."
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",psychology,2,"A pioneering researcher and one of the worlds foremost experts on traumatic stress offers a bold new paradigm for healing. Trauma is a fact of life. Veterans and their families deal with the painful aftermath of combat one in five Americans has been molested one in four grew up with alcoholics one in three couples have engaged in physical violence. Such experiences inevitably leave traces on minds, emotions, and even on biology. Sadly, trauma sufferers frequently pass on their stress to their partners and children. Renowned trauma expert Bessel van der Kolk has spent over three decades working with survivors. In The Body Keeps the Score, he transforms our understanding of traumatic stress, revealing how it literally rearranges the brains wiringspecifically areas dedicated to pleasure, engagement, control, and trust. He shows how these areas can be reactivated through innovative treatments including neurofeedback, mindfulness techniques, play, yoga, and other therapies. Based on Dr. van der Kolks own research and that of other leading specialists, The Body Keeps the Score offers proven alternatives to drugs and talk therapyand a way to reclaim lives."
Outliers: The Story of Success,psychology,4,"Learn what sets high achievers apart -- from Bill Gates to the Beatles -- in this #1 bestseller from a singular talent (New York Times Book Review).In this stunning book, Malcolm Gladwell takes us on an intellectual journey through the world of outliers--the best and the brightest, the most famous and the most successful. He asks the question what makes high-achievers differentHis answer is that we pay too much attention to what successful people are like, and too little attention to where they are from that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band.Brilliant and entertaining, Outliers is a landmark work that will simultaneously delight and illuminate."
Emotional Intelligence: Why It Can Matter More Than IQ,psychology,3,"Everyone knows that high IQ is no guarantee of success, happiness, or virtue, but until Emotional Intelligence, we could only guess why. Daniel Goleman's brilliant report from the frontiers of psychology and neuroscience offers startling new insight into our two mindsthe rational and the emotionaland how they together shape our destiny.Through vivid examples, Goleman delineates the five crucial skills of emotional intelligence, and shows how they determine our success in relationships, work, and even our physical well-being. What emerges is an entirely new way to talk about being smart.The best news is that emotional literacy is not fixed early in life. Every parent, every teacher, every business leader, and everyone interested in a more civil society, has a stake in this compelling vision of human possibility.From the Trade Paperback edition."
Mindset: The New Psychology of Success,psychology,1,"A newer edition of this book can be found here.After decades of research, world-renowned Stanford University psychologist Carol S. Dweck, Ph.D., discovered a simple but groundbreaking idea the power of mindset. In this brilliant book, she shows how success in school, work, sports, the arts, and almost every area of human endeavor can be dramatically influenced by how we think about our talents and abilities. People with a fixed mindset  those who believe that abilities are fixed  are less likely to flourish than those with a growth mindset  those who believe that abilities can be developed. Mindset reveals how great parents, teachers, managers, and athletes can put this idea to use to foster outstanding accomplishment.In this edition, Dweck offers new insights into her now famous and broadly embraced concept. She introduces a phenomenon she calls false growth mindset and guides people toward adopting a deeper, truer growth mindset. She also expands the mindset concept beyond the individual, applying it to the cultures of groups and organizations. With the right mindset, you can motivate those you lead, teach, and love  to transform their lives and your own."
How to Win Friends and Influence People,psychology,2,"You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!Since its release in 1936, How to Win Friends and Influence People has sold more than 15 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.More book description"
The Tipping Point: How Little Things Can Make a Big Difference,psychology,5,"The tipping point is that magic moment when an idea, trend, or social behavior crosses a threshold, tips, and spreads like wildfire. Just as a single sick person can start an epidemic of the flu, so too can a small but precisely targeted push cause a fashion trend, the popularity of a new product, or a drop in the crime rate. This widely acclaimed bestseller, in which Malcolm Gladwell explores and brilliantly illuminates the tipping point phenomenon, is already changing the way people throughout the world think about selling products and disseminating ideas."
The Psychopath Test: A Journey Through the Madness Industry,psychology,1,"In this madcap journey, a bestselling journalist investigates psychopaths and the industry of doctors, scientists, and everyone else who studies them.The Psychopath Test is a fascinating journey through the minds of madness. Jon Ronson's exploration of a potential hoax being played on the world's top neurologists takes him, unexpectedly, into the heart of the madness industry. An influential psychologist who is convinced that many important CEOs and politicians are, in fact, psychopaths teaches Ronson how to spot these high-flying individuals by looking out for little telltale verbal and nonverbal clues. And so Ronson, armed with his new psychopath-spotting abilities, enters the corridors of power. He spends time with a death-squad leader institutionalized for mortgage fraud in Coxsackie, New York a legendary CEO whose psychopathy has been speculated about in the press and a patient in an asylum for the criminally insane who insists he's sane and certainly not a psychopath.Ronson not only solves the mystery of the hoax but also discovers, disturbingly, that sometimes the personalities at the helm of the madness industry are, with their drives and obsessions, as mad in their own way as those they study. And that relatively ordinary people are, more and more, defined by their maddest edges."
The Interpretation of Dreams,psychology,3,"Freud's discovery that the dream is the means by which the unconscious can be explored is undoubtedly the most revolutionary step forward in the entire history of psychology. Dreams, according to his theory, represent the hidden fulfillment of our unconscious wishes."
12 Rules for Life: An Antidote to Chaos,psychology,2,"What does everyone in the modern world need to know Renowned psychologist Jordan B. Peterson's answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research.Humorous, surprising, and informative, Dr. Peterson tells us why skateboarding boys and girls must be left alone, what terrible fate awaits those who criticize too easily, and why you should always pet a cat when you meet one on the street.What does the nervous system of the lowly lobster have to tell us about standing up straight (with our shoulders back) and about success in life Why did ancient Egyptians worship the capacity to pay careful attention as the highest of gods What dreadful paths do people tread when they become resentful, arrogant, and vengeful Dr. Peterson journeys broadly, discussing discipline, freedom, adventure, and responsibility, distilling the world's wisdom into 12 practical and profound rules for life. 12 Rules for Life shatters the modern commonplaces of science, faith, and human nature while transforming and ennobling the mind and spirit of its listeners."
