title,genre,rating,summary
Pride and Prejudice,romance,2,"Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work her own darling child and its vivacious heroine, Elizabeth Bennet, as delightful a creature as ever appeared in print. The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England. (less)"
The Fault in Our Stars,romance,1,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love. (less)"
Twilight,romance,4,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of himand I didn't know how dominant that part might bethat thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite. (less)"
The Hating Game,romance,4,"Nemesis (n.)1) An opponent or rival whom a person cannot best or overcome2) A persons undoing3) Joshua Templeman.Lucy Hutton and Joshua Templeman hate each other. Not dislike. Not begrudgingly tolerate. Hate. And they have no problem displaying their feelings through a series of ritualistic passive aggressive maneuvers as they sit across from each other, executive assistants to co-CEOs of a publishing company. Lucy cant understand Joshuas joyless, uptight, meticulous approach to his job. Joshua is clearly baffled by Lucys overly bright clothes, quirkiness, and Pollyanna attitude.Now up for the same promotion, their battle of wills has come to a head and Lucy refuses to back down when their latest game could cost her her dream jobBut the tension between Lucy and Joshua has also reached its boiling point, and Lucy is discovering that maybe she doesnt hate Joshua. And maybe, he doesnt hate her either. Or maybe this is just another game. (less)"
Beach Read,romance,3,"A romance writer who no longer believes in love and a literary writer stuck in a rut engage in a summer-long challenge that may just upend everything they believe about happily ever afters.Augustus Everett is an acclaimed author of literary fiction. January Andrews writes bestselling romance. When she pens a happily ever after, he kills off his entire cast.Theyre polar opposites.In fact, the only thing they have in common is that for the next three months, they're living in neighboring beach houses, broke, and bogged down with writer's block.Until, one hazy evening, one thing leads to another and they strike a deal designed to force them out of their creative ruts Augustus will spend the summer writing something happy, and January will pen the next Great American Novel. Shell take him on field trips worthy of any rom-com montage, and hell take her to interview surviving members of a backwoods death cult (obviously). Everyone will finish a book and no one will fall in love. Really. (less)"
The Kiss Quotient,romance,4,"A heartwarming and refreshing debut novel that proves one thing there's not enough data in the world to predict what will make your heart tick.Stella Lane thinks math is the only thing that unites the universe. She comes up with algorithms to predict customer purchasesa job that has given her more money than she knows what to do with, and way less experience in the dating department than the average thirty-year-old.It doesn't help that Stella has Asperger's and French kissing reminds her of a shark getting its teeth cleaned by pilot fish. Her conclusion she needs lots of practicewith a professional. Which is why she hires escort Michael Phan. The Vietnamese and Swedish stunner can't afford to turn down Stella's offer, and agrees to help her check off all the boxes on her lesson planfrom foreplay to more-than-missionary position...Before long, Stella not only learns to appreciate his kisses, but to crave all the other things he's making her feel. Soon, their no-nonsense partnership starts making a strange kind of sense. And the pattern that emerges will convince Stella that love is the best kind of logic... (less)"
"Red, White & Royal Blue",romance,2,"Original cover edition of ASIN B07J4LPZRN here.First Son Alex Claremont-Diaz is the closest thing to a prince this side of the Atlantic. With his intrepid sister and the Veeps genius granddaughter, theyre the White House Trio, a beautiful millennial marketing strategy for his mother, President Ellen Claremont. International socialite duties do have downsidesnamely, when photos of a confrontation with his longtime nemesis Prince Henry at a royal wedding leak to the tabloids and threaten AmericanBritish relations. The plan for damage control staging a fake friendship between the First Son and the Prince.As President Claremont kicks off her reelection bid, Alex finds himself hurtling into a secret relationship with Henry that could derail the campaign and upend two nations. What is worth the sacrifice How do you do all the good you can do And, most importantly, how will history remember you (less)"
The Love Hypothesis,romance,3,"As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships--but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees.That man is none other than Adam Carlsen, a young hotshot professor--and well-known ass. Which is why Olive is positively floored when Stanford's reigning lab tyrant agrees to keep her charade a secret and be her fake boyfriend. But when a big science conference goes haywire, putting Olive's career on the Bunsen burner, Adam surprises her again with his unyielding support and even more unyielding... six-pack abs.Suddenly their little experiment feels dangerously close to combustion. And Olive discovers that the only thing more complicated than a hypothesis on love is putting her own heart under the microscope. (less)"
It Ends with Us,romance,3,"Sometimes it is the one who loves you who hurts you the most.Lily hasnt always had it easy, but thats never stopped her from working hard for the life she wants. Shes come a long way from the small town in Maine where she grew up  she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lilys life suddenly seems almost too good to be true.Ryle is assertive, stubborn, maybe even a little arrogant. Hes also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesnt hurt. Lily cant get him out of her head. But Ryles complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his no dating rule, she cant help but wonder what made him that way in the first place.As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan  her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened. (less)"
The Unhoneymooners,romance,4,"Olive is always unlucky in her career, in love, inwell, everything. Her identical twin sister Ami, on the other hand, is probably the luckiest person in the world. Her meet-cute with her fianc is something out of a romantic comedy (gag) and shes managed to finance her entire wedding by winning a series of Internet contests (double gag). Worst of all, shes forcing Olive to spend the day with her sworn enemy, Ethan, who just happens to be the best man.Olive braces herself to get through 24 hours of wedding hell before she can return to her comfortable, unlucky life. But when the entire wedding party gets food poisoning from eating bad shellfish, the only people who arent affected are Olive and Ethan. And now theres an all-expenses-paid honeymoon in Hawaii up for grabs.Putting their mutual hatred aside for the sake of a free vacation, Olive and Ethan head for paradise, determined to avoid each other at all costs. But when Olive runs into her future boss, the little white lie she tells him is suddenly at risk to become a whole lot bigger. She and Ethan now have to pretend to be loving newlyweds, and her luck seems worse than ever. But the weird thing is that she doesnt mind playing pretend. In fact, she feels kind of... lucky.Alternate cover edition of ISBN 9781501128035. (less)"
