title,genre,rating,summary
Starcross,science,4," Protagonist Arthur (Art) Mumby and his older sister Myrtle are invited to the Starcross hotel on a small and periodically barren asteroid. There, Arthurs mother Emily suspects that Starcross is built on a piece of Mars which routinely slips through a hole in the fabric of time, and Myrtle then discovers that Sir Richard Burton and his Martian wife Ulla have been changed into trees. Jack Havock, now a British secret agent, appears on the scene disguised as an Indian prince. In the following night they are attacked by the Moobs, a species resembling animated black top hats, which take control of Jacks crew and other guests, including Emily. Myrtle and Jack escape, but become lost in the deserts of prehistoric Mars. There, they encounter Delphine, one of the guests, a French secret agent determined to find her grandfathers wrecked ship and create an American-style republic in his name. At the wreck, they discover that Delphines grandfather was killed by Moobs, and later learn that the Moobs are native to a time period near the end of the universe, and that they live chiefly by feeding on other species' thoughts. A well-intentioned Moob helps Jack win Delphines soldiers to his side, and they return to Starcross. There, the Moobs load Jack's ship with their comrades and plan to take control of the local societies. Art frees Jacks crew from their influence, and they return to Starcross to discover that Arthurs mother, having sufficient memory to sate them, has subdued the Moobs. Starcross' owner Sir Launcelot Sprigg and Delphine attempt to overpower the others but Arthurs mother changes them into babies. The protagonists enter the future and inspire the Moobs with new thoughts, whereby they are stimulated to greater activity. Thereafter Myrtle, challenged by Jack, determines to study the cold fusion used in space travel whereas Professor Ferny, a plant-like creature, promises to find a cure for Sir Richard and Ulla's transformation."
Glasshouse,science,3," It is the 27th century. The culture featured in the novel is based on the culture portrayed in the last chapter of Accelerando, Survivor (full chapter here). Humanity has spread throughout the galaxy using the wormhole technology copied from the alien routers, forming a plethora of societies and 'polities'. Robin, a human male, is recovering from a memory excision process in a rehabilitation centre. Though he remembers nothing of his past life(s), he suspects that he lived through traumatic times as a participant in the series of wars that raged many years before. Suspecting that he has been targeted for assassination by persons unknown, he agrees to sign-up with a radical, isolated social experiment that will attempt to recreate the forgotten Dark Ages, the late 20th and early 21st centuries. On being transferred to the polity in which the program is being held, he discovers that he has been given the body of a woman, Reeve. As the experiment unfolds, she begins to suspect that all is not what it seems, and that the founders of the experiment are engaged in a very sinister conspiracy. Slowly, she realises that her role is not as clear-cut as she originally thought, which leads her to question, and then struggle against the program. In the context of the novel, glasshouse refers to a military prison. The polity in which the bulk of the story takes place was formerly a high-security facility for war criminals. The term was first used to describe the glass-roofed military detention barracks based in Aldershot, UK, in the mid-19th century. Stross also refers to the Glasshouse as a type of panopticon, a prison constructed in such a way that the guards in the center can see everything the prisoners are doing, but the prisoners can never tell if the guards are watching. Philosopher Michel Foucault used the model to represent the way humans tend to conform to and internalize societal ideals based on this kind of omnipresent gaze, an idea Stross exploits in the novel."
Rocheworld,science,5," In Rocheworld, a small group of civilian and military personnel crew humanity's first manned exploration of another star system. Using a laser-pumped light sail spacecraft, the journey to their destination of Barnard's star lasted 40 years. The crew used a drug called No-Die which slowed their aging process, whilst proportionately lowering their effective I.Q., and arrived only a decade physically older than when they left. A fraction of the crew visit the double planet Rocheworld, landing on the water-free lobe, dubbed Roche (French for rock as well as the name of the French mathematician who worked on Roche limits). After exploring Roche, they again split up, and one group journeys via the space-plane Dragonfly to the other lobe, Eau (French for water), which is covered almost entirely by ocean. The crew are caught in a violent storm that causes their plane to experience a crash water-landing. The flooded propulsion systems of the space-plane are unable to provide enough thrust to break free and take off from the ocean surface. The crew decide to use the plane's lift fans as propellers to make their way to the inner pole of the double planet, where the gravitation from the other lobe of the double planet should help them to break free and allow rendezvous with the remaining crew in the lander at the zero point between the two lobes. While making this journey, the space-plane attracts the attention of one of the native species of the planet the very intelligent, but technologically lacking, Flouwen. The Flouwen and the artificial intelligence aboard the space-plane establish communications and the two species begin to exchange cultural and scientific knowledge. The Flouwen realize the humans are travelling to the pole and warn the humans that they are approaching a period where the configuration of the star and planets of the system allow for a phenomenon where the ocean on the water lobe of Rocheworld can partially flow to the rocky lobe, due to the change in the gravitational equipotential. They try to stop the humans from continuing into this violent event by pinning the spacecraft to the ammonia-water ocean floor with ice as ballast (water ice sinks in the less dense ammonia-water solution of the ocean). However, the humans realize that the interplanetary waterfall poses a threat to the crew remaining on Roche. Fortunately, the tidal stresses cause nearby dormant volcanoes to become active again. This melts an underwater glacier and floods the area with warm water, upon which the ice floats off the plane. The crew manages to get airborne and takes advantage of the changing equipotential to return to Roche. They rendezvous with the lander just as water is reaching it."
Master of the Void,science,5," In the post-war galaxy, ruined civilizations regain bygone greatness. Earth's cleaning ship reaches the planet, whose inhabitants rejected technology long ago, living in small forest settlements and practicing handicrafts and hunting. Not noticing them, the crew drops 50 autom-cleaners, self-conscious mechanisms consisting of active mass, which are supposed to carry out cleaning on their own or by emerging simpler mechanisms  plain cleaners. But this cleaning, being a full destruction of the biosphere and covering the continent with an envelope of active mass,means death for all residents. However, only one of them, called the Smartest, understands this. The main character, also known as Zach Denton, is said to be a renowned scholar. Based on analysis of his dialogue in the novel, it is estimated that his IQ is 154, which places him among the most intelligent people in the world, hence the name Smartest. The post-war setting complements the protagonist's presence in the novel, and increases the intensity as he masters the void and all dark matter. Actually, he is a former commando who dramatically arrived on this planet fifty years ago. In this critical situation he sees the only way out in rapid technological progress, but local authorities, female Keepers of knowledge, disagree with him. You want to save people. To do it you'll have to change them. Answer me, what are people without customs worth They are worse than savages, worse than you... To get the attention of Earth's ship crew, one of the autonom-cleaners has to be destroyed... Smartest understands this as well as he knows it would require a strong leader, whom people will follow. He chooses a shooter, Leon, who has managed to bring down a plain cleaner which fired his village. Drunkard and poet Kirreyn begins to propagandize Leon as the Hero and the Great Shooter. Soon several boys become Leon's personal guards. Using violence, a group headed by Smartest captures technology data sheets and Leon calls all people to join him to manufacture weapons. At first, they don't believe in technology, but the first tank convinces all to the contrary, after its crew, headed by Leon, shoots down two plain cleaners... All adore Leon he overworks and goes to battle first... A lot of plants are built and people who joined Leon defend only some necessary area where they live and work... Food becomes scarce and it's the reason to establish war police... Now it exhibits many features of a state. But Leon's plane is shot down beyond the border, where the former rule of the Keepers still holds and he is captured by them. Keepers have deified the autonom-cleaners (Iron Beasts) and try to counteract Leon's state. He meets J-Fron, the lest valuable member of crew of Earth ship, who has deserted. When he luckily returns home with J-Fron's aid (plain cleaners fired the prison, but left J-Fron alive due to a telepathic password implanted in his brain), he finds that his former position is hold by another man. Leon can't find an occupation that would suit him he remembers too well all the shouting crowds... And he doesn't want to be Lord of the void, an alive memorial of himself. Leon sends his guards to kill the new Leader, after he conducted the operation of destroying one autonom-cleaner (with the aid of J-Fron's password however this operation involved more than a thousand people killed). This becomes a sort of point of no return for Leon, both his failure to be a normal person and his affirmation as the great Leader. He doesn't realize this The Smartest does, Please, don't call me a Teacher any longer now you can teach by yourself. But as the autonom-cleaner is destroyed, the crew of the Earth ship realizes the situation and leaves the planet alone... with 49 working autonom-cleaners. According to their notion of fairness, the society must have a chance to survive... but it is worth nothing if it doesn't manage to do so. Leon moves his nation (now less than one tenth of the original population) under the shelter of mountains, into the ancient Capital, a system of caves... The Smartest and J-Fron decided to cover the retreat... In their last talk before probable death, Smartest tells J-Fron, that when he got to this planet 50 years ago, he met a happy and somewhat sleepy society. Such it was, you were too late to see it. Society not changing for a thousand years, fine people who I, a cretin, couldn't stand... By the way, the best society, without experiencing shocks now and then is threatened with banal degeneration. It was my point, and it holds. It's fun  I wanted one time to be that man, who would wake this world up... I have never thought that in the end I will become an adversary of progress. The old man struck the crag with his yellow venous fist, struck once more and more. But why! shouted he, Why are people constructed in a so way, that for them the only way to survive in a critical situation is THIS Why!"
Vulcan's Hammer,science,4," In 2029 CE, the Earth is run by the Unity organisation after a devastating world war. Unity runs the planet, controlling humans from childhood education onwards through the Vulcan series of artificial intelligences, but is fought by the Healer movement. Unity Director William Barris discovers that the Vulcan 3 computer has become sentient and is considering drastic action to combat what it sees as a threat to itself. Vulcan 3 has been kept ignorant about information related to the Healer revolutionary movement by Managing Director Jason Dills, who is still loyal to its (also sentient) predecessor, Vulcan 2. Vulcan 2 fears that it will soon be superseded by Vulcan 3, and previously established the Healers as a movement to overthrow its successor. Dill and Barris begin to suspect one another, as Dill has received a letter that refers to Barris' previous contact with the Healers, but Vulcan 2 suffers partial damage in a terrorist attack. It advises Dill not to inform Vulcan 3 about the existence of the Healers, for fear that Vulcan 3 will order their mass execution. However, Vulcan 3 has already noticed the gap in available data about the rebels, and manufactured killer androids of its own. Barris and Dill resolve their differences and attack Vulcan 3, resulting in the destruction of the artificial intelligence, but Dill dies in the attempt. Finally, however, humanity is free from Unity and its technocratic dictatorship."
"David Starr, Space Ranger",science,1," David Starr, Space Ranger introduces the series' setting and the main characters. The novel is set around A.D. 7,000 (five thousand years after the first nuclear bomb, as stated at the beginning), when humanity has spread among the worlds of the Solar System as well as planets orbiting other stars. The most powerful organization in the Solar System is the Council of Science, which suppresses threats to the System's people. Protagonist David Starr is an orphaned biophysicist qualified for membership in the Council of Science, who learns from his guardians Augustus Henree and Hector Conway of some 200 deaths in the last four months, whose victims died while eating produce raised on Mars. Conway and Henree fear that the deaths are part of a conspiracy to frighten the people of Earth wherefore Starr travels undercover to Mars to discover the deaths' connection to the Martian Farming Syndicates. On Mars, Starr meets John Bigman Jones, a bellicose 5'2 Martian farmboy blacklisted at the Farming Syndicates for seeing something forbidden him. When his former boss Hennes orders Jones out of the Farm Employment Building, Starr intervenes, and gains positions for both himself and Bigman. Later, Hennes has Starr and Bigman stunned. Starr wakes in the farm owned by Hennes' boss, Mr. Makian, to whom he gives the alias Williams, and states that he came to Mars explain a younger sister's death of food poisoning wherefore Makian sends the farm's agronomist Benson to speak with him. According to Benson, the poisoned food came from several Martian farms, but was exported through Wingrad City, one of three domed human settlements on Mars whereas Makian and several other farm owners have been offered ridiculously small sums of money for their farms, apparently without connection to the poisonings. Benson suggests also that intelligent native Martians living below the planet's surface are poisoning the food in order to drive humanity from Mars. Makian offers to let Starr join a survey of the farmlands. Bigman warns him that Hennes will attack him during the survey but when Starr decides to take part anyway, Bigman joins him. As he enters Martian gravity, Starr loses control of his sand-car, nearly sending it over a crevasse whereupon Bigman discovers that Starr's sand-car is missing its weights, and Starr realizes that Griswold deliberately failed to warn him. He then confronts Griswold, who in the struggle falls into the crevasse and dies. The next day, Benson makes Starr his assistant, to keep him from Hennes. When Bigman receives his references from Hennes and takes his leave, Starr asks him to obtain some book-tapes from the library at Wingrad City. Bigman agrees, then admits that he has recognized the pretended 'Williams' as David Starr of the Council of Science. When Starr meets Bigman that night outside the dome, he reveals that he believes in Benson's Martians, and that the crevasse into which Griswold fell is an entrance to their caverns. Starr descends into the crevasse and is captured by the Martiansdisembodied intelligences curious about the Earthmen on the surface, and who know nothing of the poisoned food. They give Starr the name 'Space Ranger' because he travels through space, and give him an immaterial mask that will act as a personal force field and disguise him from other humans. Starr uses the mask to shield himself from a Martian dust storm as he returns to Makian's farm, where he is questioned how he survived the storm and answers (truthfully) that he was returned by a masked man called the Space Ranger. Benson tells him that while he was gone, all the farm owners received a letter from the poisoner, who claims that unless the farm owners surrender control to him within thirty-six hours, the poisoner will increase the amount of poisoned food a thousandfold. After Benson leaves, another of Hennes' minions tries to shoot Starr. Later, Hennes accuses Starr of poisoning the food whereupon Bigman enters with Dr. Silvers of the Council of Science, who announces that the government has declared a System Emergency and that the Council will take control of all the farms on Mars. If the mystery is not solved by the time the deadline expires, all Martian food exports to Earth will stop, and food rationing will be instituted. Starr arranges with Silvers to be publicly removed from the Makian farm, then allowed to secretly return. Disguised by his mask, he confronts Hennes, who blinds himself firing a blaster at him searches Hennes and, once undisguised, persuades Silvers to meet with Makian, Hennes, and Benson the next day. At the meeting, Starr appears in disguise and reveals that Benson poisoned the food while pretending to take samples of it, while Hennes kept in contact with Benson's henchmen in the Asteroid Belt. Following Benson's confession, Bigman reveals that despite the disguise of the Martian mask, he recognized Starr by his uniquely colorless black-and-white boots."
The Hunger Games,science,5," The Hunger Games takes place in a nation known as Panem, established in North America after the destruction of the continent's civilization by an unknown apocalyptic event. The nation consists of the wealthy Capitol and twelve surrounding, poorer districts united under the Capitol's control. Districtnbsp12, where the book begins, is located in the coal-rich region that was formerly known as Appalachia. As punishment for a past rebellion against the Capitol, in which a 13th district was destroyed, one boy and one girl between the ages of 12nbspand 18nbspfrom each district are selected by an annual lottery to participate in the Hunger Games, an event in which the participants (or tributes) must fight to the death in an outdoor arena controlled by the Capitol, until only one individual remains. The story is narrated by 16-year-old Katniss Everdeen, a girl from Districtnbsp12 who volunteers for the 74th annual Hunger Games in place of her younger sister, Primrose. The male tribute chosen from Districtnbsp12 is Peeta Mellark, a former schoolmate of Katniss who once gave her bread from his family's bakery when her family was starving. Katniss and Peeta are taken to the Capitol, where their drunken mentor, Haymitch Abernathy, victor of the 50th Hunger Games, instructs them to watch and determine the strengths and weaknesses of the other tributes. Stylists are employed to make each tribute look his or her best Katniss's stylist, Cinna, is the only person at the Capitol with whom she feels a degree of understanding. The tributes are publicly displayed to the Capitol audience in an interview with television host Caesar Flickerman, and have to attempt to appeal to the television audience in order to obtain sponsors. During this time, Peeta reveals on-air his longtime unrequited love for Katniss. Katniss believes this to be a ploy to gain sponsors, who can be critical to survival because of their ability to send gifts such as food, medicine, and tools to favored tributes during the Games. While nearly half the tributes are killed in the first day of the Games, Katniss relies on her well-practiced hunting and survival skills to remain unharmed and concealed from the other tributes. A few days into the games, Katniss develops an alliance with Rue, a 12-year-old girl from the agricultural Districtnbsp11 who reminds Katniss of her own sister. In the meantime, Peeta appears to have joined forces with the tributes from the richer districts. However, when he has the opportunity to kill Katniss, he instead saves her from the others. Katniss's alliance with Rue is brought to an abrupt end when Rue is killed by another tribute, whom Katniss then kills with an arrow. Katniss sings to Rue until she dies, and spreads flowers over her body as a sign of respect for Rue and disgust towards the Capitol. Apparently because of Katniss and Peeta's image in the minds of the audience as star-crossed lovers, a rule change is announced midway through the Games, allowing two tributes from the same district to win the Hunger Games as a couple. Upon hearing this, Katniss begins searching for Peeta. She eventually finds him, wounded and in hiding. As she nurses him back to health, she acts the part of a young girl falling in love to gain more favor with the audience and, consequently, gifts from her sponsors. When the couple remain as the last two surviving tributes, the Gamemakers reverse the rule change in an attempt to force them into a dramatic finale, where one must kill the other to win. Katniss, knowing that the Gamemakers would rather have two victors than none, retrieves highly poisonous berries known as nightlock from her pouch and offers some to Peeta. Realizing that Katniss and Peeta intend to commit suicide, the Gamemakers announce that both will be the victors of the 74th Hunger Games. Although she survives the ordeal in the arena and is treated to a hero's welcome in the Capitol, Katniss is warned by Haymitch that she has now become a political target after defying her society's authoritarian leaders so publicly. Afterwards, Peeta is heartbroken when he learns that Katniss's actions in the arena were part of a calculated ploy to earn sympathy from the audience. However, Katniss is unsure of her own feelings and realizes that she is dreading the moment when she and Peeta will go their separate ways."
Stations of the Tide,science,3," Stations of the Tide is the story of a bureaucrat with the Department of Technology Transfer who must descend to the surface of Miranda to hunt a magician who has smuggled proscribed technology past the orbital embargo, and bring him to justice before the world is transformed by the flood of the Jubilee Tides."
Dune: The Battle of Corrin,science,5," The machine evermind Omnius is continuing with his plans to eradicate all humans in the universe. After first being suggested by the traitor Yorek Thurr, an RNA retrovirus is designed by the captured Tlulaxa Rekur Van and the independent robot Erasmus. Omnius then launches capsules containing the retrovirus to infect the planets inhabited by the hapless humans. With a 43 direct-mortality rate, the virus succeeds in effectively crippling the League of Nobles, leaving them vulnerable to attack. It is discovered that consumption of the spice melange has the effect of both bolstering immunity to the retrovirus and stopping its progression in some of those already infected. Omnius, unaware that the virus has been effectively stopped, prepares for the second phase of its attack. Gathering the bulk of the machine armies stationed at the different synchronized planets, the evermind launches the massive fleet towards the League capital Salusa Secundus. After learning of the imminent destruction headed their way in the form of the machine fleet, Vorian Atreides formulates a plan whereby the humans can launch pulse-atomic attacks on all of the undefended Synchronized Worlds, ridding the universe of Omnius altogether. However, this plan called for the use of the still unreliable space-folding technology in order to carry out the attacks before the machines have a chance to recall the fleet en route to Salusa. The Great Purge is successful in destroying Omnius on all but one planet, albeit with an appalling cost in human lives because each planet was turned into slag, and while all the machines were obliterated, all the captured humans and slaves on these planets were also killed. Each time the human armies fold space to a new location there is a 10 attrition rate due to the undependable space-folders because of the uncertainty principle. In all, it amounted to billions of lives lost. The humans are also unable to destroy Omnius on the primary synchronized world, Corrin. While the other Evermind incarnations are being attacked, the cogitor Vidad travels to Corrin and warns Corrin-Omnius of the human counter-offensive. The machine fleet is recalled to defend their last remaining stronghold. Despite this, Serena Butlers Jihad is declared over. The Great Purge ended with an impasse between humans and thinking machines on the planet Corrin. While unable to destroy the machines, the human army is able to trap them on Corrin by surrounding the planet with a net of scrambler satellites, so that any thinking machine attempting to leave would have its gelcircuitry mind destroyed. This situation continues for almost 20 years with the machines unable to escape, and most humans unwilling to enter another battle. Omnius, again at the suggestion of Thurr, sends machines with primitive minds that can evade the scrambler network to attack Salusa Secundus and Rossak. These attacks have a limited effect, but are enough to remind the humans that the machines are still a threat. Touting his victory over the Titans (see below), Vorian Atreides convinces the League to attack Corrin. Facing robots using human shields and unable to use their main tactical weapons due to treachery by Abulurd Harkkonen, the Army of Humanity is bogged down around Corrin. They are forced to use most of their atomics to destroy the robot defenders. There is a ground offensive by Ginaz mercenaries that finally destroys Omnius, but not before he sends out an unknown radio message into space. Following the Battle of Corrin, Viceroy Faykan Butler renames himself Faykan Corrino in commemoration. Having seen her parents succumb to the Machine (demon) Scourge, and barely surviving herself, Rayna Butler begins her personal crusade against the thinking machines. Claiming to have had a vision of Serena Butler herself (possibly a hallucination caused by her illness), Rayna begins smashing anything resembling thinking machines, including even innocuous devices, and desperately needed medical equipment. A new group known as the Martyrists who worship The Three Martyrs Serena Butler, Manion the Innocent, and Iblis Ginjo, are instantly taken up by Raynas mission. Led by Rayna, the Cult of Serena causes more mayhem for humans than the thinking machines. Despite inherent hypocrisy (such as the destruction of some technology, but the continuous use of spaceships) within the group, the cults legacy endures. The primary commandment in the Orange Catholic Bible, thou shall not make a machine in the likeness of a human mind is attributed directly to Rayna Butler. Furthermore, the group is responsible for the strict laws banning all thinking machines under pain of death (and sometimes torture) thus making them anathema. During the 20-year impasse the three remaining Titans, Agamemnon, Juno and Dante, are struggling to rebuild their cymek empire. While surveying Wallach IX, which has been devastated during the Great Purge for possible survivors in need of aid, Primero Quentin Butler (Faykan and Abulurd Harkonnens father) is captured by cymeks, and taken to the Titan stronghold on Hessra. There he is tortured and converted into a cymek himself. After learning about this, Vorian Atreides feigns retirement and travels to Hessra. Once there he regains his father Agamemnons trust. In a final coup, Vorian and Quentin successfully kill the Titans and their cymek underlings, but at the cost of Quentins life."
The Crystal Star,science,4," On Munto Codro, Jacen, Jaina  Anakin are kidnapped by a man named Hethrir. Their mother, Leia Organa Solo, immediately dispatches a rescue operation. Meanwhile, Han Solo and Luke Skywalker go to Crseih Station on a supposed vacation, and learn of a secret cult that influences the Crystal Star, which could possibly destroy the very existence of the universe. Hethrir continues to manipulate the children for several days, as he leads the Empire Reborn, an organization looking to resurrect the Galactic Empire. Eventually, Leia and Chewbacca manage to rescue the children, but Hethrir is still connected to the events that transpire around the Crystal Star. After an intense series of events, Hethrir is killed, the Crystal Star explodes, Crseih station moves out of the area beforehand, and Luke, Leia, Han, and the children are safe."
