title,genre,rating,summary
A Walk in the Woods: Rediscovering America on the Appalachian Trail,travel,2,"The Appalachian Trail stretches from Georgia to Maine and covers some of the most breathtaking terrain in Americamajestic mountains, silent forests, sparking lakes. If youre going to take a hike, its probably the place to go. And Bill Bryson is surely the most entertaining guide youll find. He introduces us to the history and ecology of the trail and to some of the other hardy (or just foolhardy) folks he meets along the wayand a couple of bears. Already a classic, A Walk in the Woods will make you long for the great outdoors (or at least a comfortable chair to sit and read in).More book description"
In a Sunburned Country,travel,3,"It is the driest, flattest, hottest, most infertile and climatically aggressive of all the inhabited continents, and still Australia teems with life - a large portion of it quite deadly. In fact, Australia has more things that can kill you in a very nasty way than anywhere else.Ignoring such dangers - and yet curiously obsessed by them - Bill Bryson journeyed to Australia and promptly fell in love with the country. And who can blame him The people are cheerful, extroverted, quick-witted and unfailingly obliging their cities are safe and clean and nearly always built on water the food is excellent the beer is cold and the sun nearly always shines. Life doesn't get much better than this..."
Notes from a Small Island,travel,3,"Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it.After nearly two decades spent on British soil, Bill Bryson - bestselling author of The Mother Tongue and Made in America-decided to return to the United States. (I had recently read, Bryson writes, that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me.) But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home.Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile."
"Eat, Pray, Love",travel,5,"A celebrated writer's irresistible, candid, and eloquent account of her pursuit of worldly pleasure, spiritual devotion, and what she really wanted out of life.Around the time Elizabeth Gilbert turned thirty, she went through an early-onslaught midlife crisis. She had everything an educated, ambitious American woman was supposed to wanta husband, a house, a successful career. But instead of feeling happy and fulfilled, she was consumed with panic, grief, and confusion. She went through a divorce, a crushing depression, another failed love, and the eradication of everything she ever thought she was supposed to be.To recover from all this, Gilbert took a radical step. In order to give herself the time and space to find out who she really was and what she really wanted, she got rid of her belongings, quit her job, and undertook a yearlong journey around the worldall alone. Eat, Pray, Love is the absorbing chronicle of that year. Her aim was to visit three places where she could examine one aspect of her own nature set against the backdrop of a culture that has traditionally done that one thing very well. In Rome, she studied the art of pleasure, learning to speak Italian and gaining the twenty-three happiest pounds of her life. India was for the art of devotion, and with the help of a native guru and a surprisingly wise cowboy from Texas, she embarked on four uninterrupted months of spiritual exploration. In Bali, she studied the art of balance between worldly enjoyment and divine transcendence. She became the pupil of an elderly medicine man and also fell in love the best wayunexpectedly.An intensely articulate and moving memoir of self-discovery, Eat, Pray, Love is about what can happen when you claim responsibility for your own contentment and stop trying to live in imitation of societys ideals. It is certain to touch anyone who has ever woken up to the unrelenting need for change."
Neither Here nor There: Travels in Europe,travel,5,"Bill Bryson's first travel book, The Lost Continent, was unanimously acclaimed as one of the funniest books in years. In Neither Here nor There he brings his unique brand of humour to bear on Europe as he shoulders his backpack, keeps a tight hold on his wallet, and journeys from Hammerfest, the northernmost town on the continent, to Istanbul on the cusp of Asia. Fluent in, oh, at least one language, he retraces his travels as a student twenty years before.Whether braving the homicidal motorist of Paris, being robbed by gypsies in Florence, attempting not to order tripe and eyeballs in a German restaurant, window-shopping in the sex shops of the Reeperbahn or disputing his hotel bill in Copenhagen, Bryson takes in the sights, dissects the culture and illuminates each place and person with his hilariously caustic observations. He even goes to Liechtenstein."
Wild: From Lost to Found on the Pacific Crest Trail,travel,5,"An alternate cover for this ISBN can be found here.At twenty-two, Cheryl Strayed thought she had lost everything. In the wake of her mothers death, her family scattered and her own marriage was soon destroyed. Four years later, with nothing more to lose, she made the most impulsive decision of her life. With no experience or training, driven only by blind will, she would hike more than a thousand miles of the Pacific Crest Trail from the Mojave Desert through California and Oregon to Washington State  and she would do it alone.Told with suspense and style, sparkling with warmth and humor, Wild powerfully captures the terrors and pleasures of one young woman forging ahead against all odds on a journey that maddened, strengthened, and ultimately healed her."
The Lost Continent: Travels in Small Town America,travel,4,"'I come from Des Moines. Somebody had to'And, as soon as Bill Bryson was old enough, he left. Des Moines couldn't hold him, but it did lure him back. After ten years in England, he returned to the land of his youth, and drove almost 14,000 miles in search of a mythical small town called Amalgam, the kind of trim and sunny place where the films of his youth were set.Instead, his search led him to Anywhere, USA a lookalike strip of gas stations, motels and hamburger outlets populated by lookalike people with a penchant for synthetic fibres. Travelling around thirty-eight of the lower states - united only in their mind-numbingly dreary uniformity - he discovered a continent that was doubly lost lost to itself because blighted by greed, pollution, mobile homes and television lost to him because he had become a stranger in his own land.The Lost Continent is a classic of travel literature - hilariously, stomach-achingly funny, yet tinged with heartache - and the book that first staked Bill Bryson's claim as the most beloved writer of his generation."
Into the Wild,travel,2,"Librarian's Note An alternate cover edition can be found hereIn April, 1992, a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given 25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, a party of moose hunters found his decomposed body. How McCandless came to die is the unforgettable story of Into the Wild.Immediately after graduating from college in 1991, McCandless had roamed through the West and Southwest on a vision quest like those made by his heroes Jack London and John Muir. In the Mojave Desert he abandoned his car, stripped it of its license plates, and burned all of his cash. He would give himself a new name, Alexander Supertramp, and, unencumbered by money and belongings, he would be free to wallow in the raw, unfiltered experiences that nature presented. Craving a blank spot on the map, McCandless simply threw away the maps. Leaving behind his desperate parents and sister, he vanished into the wild."
Travels with Charley: In Search of America,travel,4,"A quest across America, from the northernmost tip of Maine to Californias Monterey PeninsulaTo hear the speech of the real America, to smell the grass and the trees, to see the colors and the lightthese were John Steinbeck's goals as he set out, at the age of fifty-eight, to rediscover the country he had been writing about for so many years.With Charley, his French poodle, Steinbeck drives the interstates and the country roads, dines with truckers, encounters bears at Yellowstone and old friends in San Francisco. Along the way he reflects on the American character, racial hostility, the particular form of American loneliness he finds almost everywhere, and the unexpected kindness of strangers."
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,travel,1,Vagabonding is about taking time off from your normal life--from six weeks to four months to two years--to discover and experience the world on your own terms. Veteran shoestring traveler Rolf Potts shows how anyone with an independent spirit can achieve the dream of extended overseas travel.Visit the vagabonding community's hub at www dot vagabonding dot net.
